|   in   |load |     address     |  out   |
|  12345 |  1  | 010000000000000 |      0 |
|  12345 |  1  | 010000000000000 |      0 |
|  12345 |  1  | 100000000000000 |      0 |
|  12345 |  1  | 100000000000000 |      0 |
|     -1 |  1  | 000000000000000 |      0 |
|     -1 |  1  | 000000000000000 |      0 |
|   9999 |  0  | 000000000000000 |      0 |
|   9999 |  0  | 000000000000000 |      0 |
|   9999 |  0  | 010000000000000 |      0 |
|   9999 |  0  | 100000000000000 |      0 |
|  12345 |  1  | 000000000000000 |      0 |
